indicator_id,category,dimension,indicator_label,pwd_raw_var,pwod_raw_var,derived,direction,transform,weight,source_status,notes
rel_score_poverty,WE,relative,Below Poverty Line: Relative,pct_cni_dis_poverty,,0,lower_better,none,1,acs_ready,Source: ACS B18130 age-split count columns already in national_data from main pipeline. pct_cni_dis_poverty is a DERIVED all-ages aggregate computed in script 02 as: (pop_cni_under18_poverty_dis + pop_cni_18to64_poverty_dis + pop_cni_65plus_poverty_dis) / (pop_cni_under18_dis + pop_cni_18to64_dis + pop_cni_65plus_dis). Replaces age-split indicators per 2024 revision.
eq_score_poverty,WE,equity,Below Poverty Line: Equity,pct_cni_dis_poverty,pct_cni_nodis_poverty,1,lower_better,none,1,acs_ready,PWOD: pct_cni_nodis_poverty derived the same way from nodis count columns in national_data. Computed in script 02 alongside PWD version.
rel_score_unemployed,WE,relative,Unemployment Rate: Relative,pct_cni_16plus_unemployed_dis,,0,lower_better,none,1,acs_ready,Source: ACS B18131. Variable confirmed present in national_data from main pipeline ACS run. Denominator = labor force participants (employed_dis + unemployed_dis). Unemployment rate = unemployed_dis / labor_force_dis. New 2024 indicator.
eq_score_unemployed,WE,equity,Unemployment Rate: Equity,pct_cni_16plus_unemployed_dis,pct_cni_16plus_nodis_unemployed,1,lower_better,none,1,acs_ready,PWOD variable is pct_cni_16plus_nodis_unemployed (note: nodis precedes unemployed in national_data naming convention — differs from PWD column order). Confirmed present in national_data from main pipeline ACS run.
rel_score_labor,WE,relative,Not in Labor Force: Relative,pct_cni_16plus_notlabor_dis,,0,lower_better,none,1,acs_ready,ACS B18131. Not in labor force rows for disability population 16+. Denominator = all civilians 16+ with disability.
eq_score_labor,WE,equity,Not in Labor Force: Equity,pct_cni_16plus_notlabor_dis,pct_cni_16plus_notlabor_nodis,1,lower_better,none,1,acs_ready,
rel_score_ssi_rent,WE,relative,SSI as Percent of 1BR Fair Market Rent: Relative,ssi_pct_1br_rent,,0,lower_better,none,1,external_ready,Source 1 — SSI: SSA ASR 2024 Table 39 average monthly payment (December 2024) for under-65 recipients by state — combined federal + state supplement average (ssi_asr24.xlsx). Using average actual payment rather than federal maximum because it captures real state supplement differences. Source 2 — FMR: HUD FY2025 FMRs 1BR (FY25_FMRs_revised.xlsx/csv) — population-weighted mean of county 1BR FMRs by state. Formula: (avg_monthly_SSI / pop_wtd_state_1BR_FMR) x 100. Higher ratio = SSI covers more of FMR cost; lower_better scoring per convention.
rel_score_renter_burden,WE,relative,Renter Cost Burden: Relative,renter_burden,,0,lower_better,none,1,external_ready,Source: ACS PUMS GRPIP >= 30 (gross rent 30%+ of income) DIS=1 TEN=3 (renter). Denominator = all renter HHs any member DIS=1. CONFIRMED: disability-specific PUMS pull. Alternative if not feasible: B25070_007E+ / B25070_001E (general population).
eq_score_renter_burden,WE,equity,Renter Cost Burden: Equity,renter_burden,renter_burden_nodis,1,lower_better,none,1,external_ready,PWOD: PUMS GRPIP >= 30 DIS=0 TEN=3.
rel_score_owner_burden,WE,relative,Owner Cost Burden: Relative,owner_burden,,0,lower_better,none,1,external_ready,Source: ACS PUMS OCPIP >= 30 (monthly owner costs 30%+ of income) DIS=1 TEN=1or2 (owner). Denominator = all owner HHs any member DIS=1. CONFIRMED: disability-specific PUMS pull. Alternative if not feasible: B25091 (general population).
eq_score_owner_burden,WE,equity,Owner Cost Burden: Equity,owner_burden,owner_burden_nodis,1,lower_better,none,1,external_ready,PWOD: PUMS OCPIP >= 30 DIS=0 TEN=1or2.
